,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ITGB7,0.82683986,0.26324126,0.0,0.0,0.13502935,0.01293173,0.0,0.4763048,0.24866045,0.0,0.0,0.0,0.0,0.5881338,0.0,0.0,0.0,0.0,0.25155774,0.034994382
ITGA3,0.009469514,2.052061,0.0,0.0,0.3630849,0.0,0.0,0.0,2.2302845,0.0,2.308548,0.0,0.0,1.4349209,0.0,0.0,0.0,0.0,0.0,0.0
ITGA6,0.061485875,1.5712155,0.34950867,0.0,0.0,0.052067045,0.0,0.0,0.0,0.43344858,0.0,0.0,0.0,1.7183003,0.14788724,0.0,0.0,0.0,0.0,0.14459471
ITGAV,0.119384654,0.0,0.0,1.724067,0.0,0.47636506,0.0,0.0,0.7504991,0.0,0.0,0.0,1.781737,0.0,0.0,0.0,2.1052997,0.664195,0.0,0.0
ITGB1,0.41063538,0.0,0.0,0.49843088,0.0,0.0,0.0,0.0,0.0,0.0,1.3341922,0.0,0.97858906,0.0,0.0,0.0,0.0,2.342979,0.0,0.0
ITGB5,0.28220847,0.06789864,0.5000494,0.24536334,0.0,0.0,0.0,1.1090143,0.05415595,0.0,0.0,0.20871927,0.26179415,0.0,0.0,0.5319725,0.0,0.0,0.0,1.5474291
ADCYAP1R1,0.0,0.0,1.7463467,0.12525967,0.030333811,0.0,2.8432193,0.0,2.229693,0.0,2.5969114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,0.047495883,0.0,0.0,2.173947,0.0,0.101623535,0.0,0.0,0.0,3.180652,0.0,0.0,0.0,0.0,1.3459382,0.0,0.0
ADRB3,0.0,0.0,0.0,3.6545699,0.0,2.6579149,0.0,0.016235966,0.0,0.0,0.0,2.5408654,0.0,0.0,1.0106459,0.3316286,0.17381053,0.0,0.0,2.5526288
GPR20,1.4852197,0.49549758,0.0,0.0,0.0,0.0,0.0,0.13167824,0.28495425,0.0,0.0,0.0,0.0,0.0,0.0,0.16437519,0.0,0.23110667,0.42033875,0.0
GPR84,0.5608837,0.0,0.33930758,0.0,0.0,0.0,0.0,0.40097764,0.25832194,0.0,0.0,0.0,0.0,0.19180717,0.0,0.0,0.0,0.0,0.0,0.4164871
PTH1R,2.3173773,0.65270776,0.0,0.0,0.0,1.5333586,0.0,0.28955606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013830895,0.02350295,0.0
