,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
A2M,0.02381859,0.69825065,0.0,0.46790817,0.0,0.4648413,0.0,0.0,0.0,0.0,0.0,0.09416358,0.0,0.0,0.0,1.3278328,0.80625546,0.2773471,0.0,0.066657126
AANAT,0.0,0.0,0.111765146,0.0,0.0,0.0,0.20705472,3.1805878,0.0,0.0055464823,1.5709583,0.0,2.0259197,0.0,0.0,0.07352863,0.0,0.41315928,0.69445574,1.6417884
ACE,0.0,0.0,0.20046325,0.0824023,0.3770216,0.0,0.08954002,0.6120224,0.14363627,0.5454797,0.0,0.3047091,0.23602602,0.55842924,0.50099397,0.2793221,0.092271276,0.0,0.0,0.95789117
ACTR2,0.0,0.0,0.0,0.09012444,0.0,0.0,2.4873197,0.0,0.20745303,0.0,0.17558035,0.0,3.5719724,0.0,0.0,0.0,0.0,1.531331,0.0,0.0
ACTR2,0.0,0.0,0.0,0.09012444,0.0,0.0,2.4873197,0.0,0.20745303,0.0,0.17558035,0.0,3.5719724,0.0,0.0,0.0,0.0,1.531331,0.0,0.0
ACTR2,0.0,0.0,0.0,0.09012444,0.0,0.0,2.4873197,0.0,0.20745303,0.0,0.17558035,0.0,3.5719724,0.0,0.0,0.0,0.0,1.531331,0.0,0.0
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34966657,0.32604635,0.0,0.3371079,0.0,1.4982758,0.0,0.0,0.0,0.12889871,0.77518255,0.30407083,0.03814902
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34966657,0.32604635,0.0,0.3371079,0.0,1.4982758,0.0,0.0,0.0,0.12889871,0.77518255,0.30407083,0.03814902
ADAM12,0.0,0.0,0.16446866,0.0,0.0,0.0,0.0,0.17392477,0.0,0.0,0.0,0.0,0.0,0.5258814,0.36843288,0.768245,0.35019594,0.0,0.0,0.0
ADAM12,0.0,0.0,0.16446866,0.0,0.0,0.0,0.0,0.17392477,0.0,0.0,0.0,0.0,0.0,0.5258814,0.36843288,0.768245,0.35019594,0.0,0.0,0.0
ADAM12,0.0,0.0,0.16446866,0.0,0.0,0.0,0.0,0.17392477,0.0,0.0,0.0,0.0,0.0,0.5258814,0.36843288,0.768245,0.35019594,0.0,0.0,0.0
ADAM15,0.0,0.0,0.0,0.0,0.49016875,0.0,0.0,0.0,0.0,0.0,0.9478016,0.0,0.28347725,0.0,0.004856527,0.8234252,0.0,0.0,1.1263169,0.0
ADAM15,0.0,0.0,0.0,0.0,0.49016875,0.0,0.0,0.0,0.0,0.0,0.9478016,0.0,0.28347725,0.0,0.004856527,0.8234252,0.0,0.0,1.1263169,0.0
ADAM15,0.0,0.0,0.0,0.0,0.49016875,0.0,0.0,0.0,0.0,0.0,0.9478016,0.0,0.28347725,0.0,0.004856527,0.8234252,0.0,0.0,1.1263169,0.0
ADAM15,0.0,0.0,0.0,0.0,0.49016875,0.0,0.0,0.0,0.0,0.0,0.9478016,0.0,0.28347725,0.0,0.004856527,0.8234252,0.0,0.0,1.1263169,0.0
ADAM15,0.0,0.0,0.0,0.0,0.49016875,0.0,0.0,0.0,0.0,0.0,0.9478016,0.0,0.28347725,0.0,0.004856527,0.8234252,0.0,0.0,1.1263169,0.0
ADAM17,0.0,0.0,0.0,2.8644059,0.0,0.0,0.68315405,0.0,1.6529183,0.0,1.9632546,0.0,2.3410463,0.0,0.0,0.0,1.8108519,2.415507,0.0,0.3188812
